订单号,用户ID,商品名称,价格,购买时间,收货地址,手机号,订单状态
ODR000566,U388,HomePod mini,¥358,2024.10.1 9时,南京市雁塔区,13708786230,已发货
ODR000567,U049,MacBook Air M3,2743,2024.8.6 12时,深圳市天河区,15056716342,已取消
ODR000568,U169,Magic Keyboard,¥1864,2024-01-16 10:54:43,广州市雁塔区,123456,待付款
ODR000569,U215,Mac mini M2,5097,2024-03-10 10:08:26,杭州市玄武区,13676542789,待付款
ODR000570,U322,AirPods Pro 2,¥5528,2024.6.20 21时,深圳市渝中区,13834621693,已发货
ODR000571,U005,屏幕保护膜,8234,2024.6.20 13时,上海市玄武区,13800138,已发货
ODR000572,U135,Mac mini M2,5910元,2024.6.11 20时,,15080643054,已取消
ODR000573,U371,iMac 24寸,9265,2024.5.8 17时,武汉市锦江区,15239329570,已发货
ODR000574,U437,Magic Keyboard,3663元,2024.3.24 16时,南京市雁塔区,13843982499,已付款
ODR000575,U127,MacBook Air M3,9220,2024.8.13 10时,上海市江汉区,13870190321,已取消
ODR000576,U276,HomePod mini,1514,2024-10-16 15:58:27,成都市江汉区,15114743970,已完成
ODR000577,U497,HomePod mini,¥3796,2024-11-07 20:00:18,南京市渝中区,13639297234,已发货
ODR000578,U235,手机壳,¥6932,2024-03-26 20:35:41,北京市浦东新区,15150358499,已发货
ODR000579,U055,iMac 24寸,8738元,2024-10-04 15:20:37,北京市西湖区,13528977308,已付款
ODR000580,U394,iMac 24寸,3639,2024.9.26 19时,杭州市渝中区,手机号缺失,已付款
ODR000581,U211,AirPods Pro 2,5870,2024.5.6 20时,西安市雁塔区,13539755156,已发货
ODR000582,U043,HomePod mini,7577,2024.6.22 13时,南京市西湖区,15167017392,已取消
ODR000583,U001,Magic Keyboard,2042,2024.11.9 12时,杭州市玄武区,13543607083,已取消
ODR000584,U449,Mac mini M2,¥8402,2024-12-16 12:59:37,杭州市浦东新区,13586392320,已付款
ODR000585,U312,Mac mini M2,6386,2024-05-16 16:28:14,武汉市渝中区,15230219323,已付款
ODR000586,U095,USB-C充电线,292,2024/1/15,重庆市江汉区,13741352505,已取消
ODR000587,U416,iMac 24寸,8385元,2024/4/2,成都市渝中区,13753813734,已发货
ODR000588,U266,HomePod mini,2414元,2024.12.4 19时,广州市锦江区,15173214582,待付款
ODR000589,U207,Magic Keyboard,¥5385,2024-04-15 15:28:53,成都市浦东新区,13640014365,待付款
ODR000590,U412,Apple Watch Series 9,¥9322,2024.5.11 16时,南京市西湖区,13667198541,已取消
ODR000591,U020,USB-C充电线,9040,2024-04-04 12:20:40,武汉市玄武区,13676093835,已取消
ODR000592,U276,iPad Pro 12.9,1947,2024.7.26 21时,,13701738611,已付款
ODR000593,U355,手机壳,¥7987,2024.5.1 11时,南京市朝阳区,13568016946,待付款
ODR000594,U280,iMac 24寸,6166,2024/7/1,武汉市雁塔区,abc12345678,已取消
ODR000595,U495,iPad Pro 12.9,¥3289,2024.9.9 19时,武汉市雁塔区,15068430782,已发货
ODR000596,U263,Mac mini M2,6039,2024-02-08 12:41:05,成都市天河区,15207629056,待付款
ODR000597,U362,Magic Mouse,4010,2024.1.19 12时,南京市浦东新区,15012272678,已发货
ODR000598,U204,Magic Keyboard,4684,2024-06-10 12:04:16,成都市雁塔区,15260107409,已取消
ODR000599,U390,iPad Pro 12.9,8335元,2024/4/24,武汉市朝阳区,13932492840,已完成
ODR000600,U066,HomePod mini,¥4749,2024-08-19 12:53:05,北京市天河区,abc12345678,待付款
ODR000601,U122,Magic Mouse,1456,2024-12-07 11:46:31,广州市天河区,13743095868,已取消
ODR000602,U198,AirPods Pro 2,4860元,2024-11-12 10:54:28,广州市西湖区,13589916690,待付款
ODR000603,U290,AirPods Pro 2,586元,2024-12-16 12:01:53,南京市朝阳区,15294808528,已付款
ODR000604,U041,iPhone 15 Pro,2535,2024/4/3,南京市玄武区,15036316525,已发货
ODR000605,U433,HomePod mini,¥7005,2024.9.2 16时,深圳市渝中区,15253585843,已取消
ODR000606,U027,AirPods Pro 2,¥286,2024-08-04 10:07:44,成都市南山区,15203294314,已付款
ODR000607,U030,手机壳,3341,2024-11-01 17:04:16,成都市浦东新区,13836812903,已发货
ODR000608,U321,iMac 24寸,¥6152,2024-04-05 10:30:46,上海市锦江区,15078939714,已发货
ODR000609,U433,iPhone 15 Pro,1326,2024-12-08 18:57:28,成都市朝阳区,15165414204,待付款
ODR000610,U265,HomePod mini,1920,2024-02-12 14:53:28,成都市南山区,13936434006,已取消
ODR000611,U116,airPods pro 2,¥8073,2024-08-26 19:26:23,南京市雁塔区,13591017907,已完成
ODR000612,U062,Magic Mouse,4536,2024-04-08 13:17:58,西安市天河区,15294999450,已完成
ODR000613,U441,iMac 24寸,¥2429,2024-07-17 15:52:06,深圳市渝中区,15206089761,已完成
ODR000614,U043,Magic Mouse,547元,2024/11/10,南京市天河区,13586134406,已取消
ODR000615,U386,屏幕保护膜,7592,2024.2.16 11时,杭州市锦江区,13520017116,已完成
ODR000616,U273,iPhone 15 Pro,¥8651,2024-04-03 12:45:53,西安市雁塔区,13893436272,已付款
ODR000617,U337,Apple Watch Series 9,¥5334,2024-10-21 10:16:17,南京市天河区,15028947221,已完成
ODR000618,U231,Magic Mouse,¥114,2024.4.12 18时,重庆市浦东新区,13959801383,待付款
ODR000619,U340,HomePod mini,¥2180,2024.7.2 9时,西安市朝阳区,15291903177,已取消
ODR000620,U100,Apple Watch Series 9,¥971,2024.7.24 17时,广州市南山区,13921364698,已发货
ODR000621,U049,Magic Keyboard,777,2024-03-10 15:58:28,广州市西湖区,13866415126,已完成
ODR000622,U269,iMac 24寸,2162,2024-03-26 11:33:41,,15055220342,已发货
ODR000623,U187,HomePod mini,5364元,2024-06-18 15:42:52,杭州市锦江区,13767607934,已完成
ODR000624,U073,手机壳,719,2024.7.4 11时,,13702241675,已付款
ODR000625,U285,iPhone 15 Pro,9190,2024.11.15 16时,,15123468318,已完成
ODR000626,U461,Magic Keyboard,4427元,2024-10-27 09:11:00,成都市浦东新区,13566086865,已取消
ODR000627,U356,Magic Keyboard,¥1964,2024.1.14 18时,武汉市渝中区,15050881829,已取消
ODR000628,U292,手机壳,4863元,2024.9.13 10时,武汉市渝中区,15171716812,已发货
ODR000629,U387,手机壳,¥4914,2024/8/2,广州市天河区,13755660580,已发货
ODR000630,U214,AirPods Pro 2,¥3167,2024/1/17,重庆市浦东新区,13887777458,已取消
ODR000631,U432,USB-C充电线,¥659,2024-04-14 17:53:16,西安市锦江区,13877073629,已取消
ODR000632,U495,iPhone 15 Pro,3033,2024-11-01 18:29:03,南京市南山区,15030722498,已付款
ODR000633,U235,USB-C充电线,6402,2024-02-12 09:23:13,杭州市雁塔区,13844676983,已完成
ODR000634,U468,MacBook Air M3,2394,2024.12.4 18时,深圳市江汉区,13811749167,已完成
ODR000635,U174,iPhone 15 Pro,4407,2024/3/4,深圳市锦江区,15112651321,已付款
ODR000636,U384,Mac mini M2,2549,2024.8.10 14时,重庆市浦东新区,15115629020,已发货
ODR000637,U289,USB-C充电线,¥6523,2024.11.21 9时,成都市浦东新区,13837451733,待付款
ODR000638,U389,手机壳,¥957,2024/7/18,北京市南山区,13512729799,已发货
ODR000639,U138,AirPods Pro 2,3442元,2024.8.4 10时,深圳市雁塔区,15214797125,已取消
ODR000640,U237,Apple Watch Series 9,¥1560,2024-02-21 18:18:24,深圳市江汉区,13847933528,已发货
ODR000641,U041,Magic Mouse,6186,2024-09-05 20:11:00,重庆市玄武区,13686983561,待付款
ODR000642,U184,手机壳,¥2295,2024.11.3 9时,南京市朝阳区,15240938987,已取消
ODR000643,U003,iMac 24寸,¥6020,2024.12.4 13时,广州市玄武区,13791399070,已发货
ODR000644,U106,iPhone 15 Pro,¥3077,2024-05-17 14:34:44,北京市江汉区,15114577790,已取消
ODR000645,U217,HomePod mini,1874,2024.4.25 12时,广州市西湖区,13583552020,已取消
ODR000646,U070,iPad Pro 12.9,6797,2024.5.28 10时,广州市浦东新区,13706067757,已付款
ODR000647,U142,手机壳,9049,2024-05-20 21:00:06,西安市雁塔区,13637732517,待付款
ODR000648,U179,iMac 24寸,¥315,2024-02-15 10:43:07,西安市玄武区,13800138,已发货
ODR000649,U183,Apple Watch Series 9,1699,2024.8.18 15时,重庆市天河区,13882490272,已完成
ODR000650,U227,iPhone 15 Pro,¥3269,2024-01-01 18:43:02,北京市南山区,15169022149,已发货
ODR000651,U100,iMac 24寸,863元,2024.8.8 15时,广州市西湖区,13862561949,待付款
ODR000652,U311,Apple Watch Series 9,¥5687,2024/7/2,武汉市锦江区,15011035319,已付款
ODR000653,U475,手机壳,4201元,2024.11.24 16时,重庆市江汉区,13689271744,已付款
ODR000654,U056,Mac mini M2,4311元,2024.2.13 16时,南京市朝阳区,13764748992,已付款
ODR000655,U182,屏幕保护膜,4515,2024/9/27,北京市南山区,13695587021,待付款
ODR000656,U251,iPad Pro 12.9,9376,2024.10.4 11时,杭州市天河区,15172942309,已发货
ODR000657,U214,Apple Watch Series 9,4117,2024.11.17 21时,西安市浦东新区,13933216437,已发货
ODR000658,U293,手机壳,1292,2024-05-13 10:00:45,杭州市浦东新区,13929102717,已付款
ODR000659,U441,Magic Keyboard,1982,2024.12.13 11时,武汉市江汉区,15086798223,已付款
ODR000660,U305,iPhone 15 Pro,612,2024-08-21 20:29:00,上海市玄武区,15208650185,待付款
ODR000661,U237,iPad Pro 12.9,6678,2024.7.11 16时,南京市渝中区,13800138,已发货
ODR000662,U054,Mac mini M2,4068,2024-09-28 13:40:41,上海市锦江区,13815753003,已取消
ODR000663,U217,HomePod mini,1421,2024.10.15 13时,重庆市朝阳区,13514787847,已付款
ODR000664,U099,USB-C充电线,185元,2024.4.16 14时,广州市江汉区,13522779713,已取消
ODR000665,U051,Apple Watch Series 9,2600,2024.3.23 21时,武汉市雁塔区,13901178845,已付款
ODR000666,U189,iMac 24寸,1689元,2024-05-06 11:20:15,西安市浦东新区,13803403250,待付款
ODR000667,U007,MacBook air M3,5340,2024.2.19 16时,深圳市浦东新区,13574364496,待付款
ODR000668,U231,Magic Keyboard,6527,2024/9/8,重庆市南山区,13925059757,已取消
ODR000669,U306,iMac 24寸,8566,2024-03-08 16:49:22,成都市江汉区,15082852911,已取消
ODR000670,U140,USB-C充电线,1185,2024.4.19 18时,,13657766086,已取消
ODR000671,U409,屏幕保护膜,431,2024-02-21 09:42:01,上海市雁塔区,15153199827,已发货
ODR000672,U253,HomePod mini,2503,2024-01-16 20:59:03,西安市南山区,13892664836,已取消
ODR000673,U373,iPad Pro 12.9,4447,2024.1.15 13时,深圳市南山区,15100598012,已取消
ODR000674,U400,iPad Pro 12.9,7947,2024.1.5 17时,北京市天河区,13786703061,已完成
ODR000675,U406,iMac 24寸,8394,2024-08-15 14:56:34,成都市渝中区,15054786581,已完成
ODR000676,U397,iPhone 15 Pro,1371元,2024.9.28 16时,杭州市雁塔区,123456,已完成
ODR000677,U246,Mac mini M2,¥786,2024.2.27 14时,南京市玄武区,13651822195,已付款
ODR000678,U474,HomePod mini,586,2024.10.19 13时,广州市南山区,13681689406,已取消
ODR000679,U295,AirPods Pro 2,¥3845,2024/4/16,杭州市锦江区,15150217126,待付款
ODR000680,U265,Magic Mouse,4213,2024-05-06 11:32:40,西安市锦江区,13969688156,已取消
ODR000681,U311,屏幕保护膜,347,2024.9.24 15时,广州市浦东新区,15269465651,待付款
ODR000682,U463,iPad Pro 12.9,4435,2024/7/25,杭州市江汉区,13794205626,已取消
ODR000683,U340,HomePod mini,6265,2024-10-25 20:11:28,杭州市渝中区,13850013986,待付款
ODR000684,U241,Magic Keyboard,¥7048,2024.9.21 18时,上海市江汉区,13744834480,已取消
ODR000685,U298,Magic Mouse,¥3148,2024-05-03 20:43:59,深圳市玄武区,13837360571,已取消
ODR000686,U289,iPhone 15 Pro,6895,2024.2.4 10时,重庆市玄武区,13665364436,已付款
ODR000687,U438,Magic Mouse,2474,2024-05-11 19:57:56,重庆市雁塔区,13856715798,待付款
ODR000688,U419,Magic Keyboard,6459,2024-10-09 11:49:24,南京市浦东新区,123456,已完成
ODR000689,U297,iPad Pro 12.9,1856元,2024-06-23 16:24:26,杭州市浦东新区,15172338008,已付款
ODR000690,U100,iPhone 15 Pro,8753元,2024/5/19,北京市西湖区,15191274563,已发货
ODR000691,U324,MacBook Air M3,5840,2024.1.1 9时,深圳市锦江区,15170125671,待付款
ODR000692,U179,Apple Watch Series 9,7271,2024-07-11 09:37:50,广州市天河区,13880887341,已付款
ODR000693,U232,iMac 24寸,¥5367,2024.4.25 12时,南京市浦东新区,15045181152,已发货
ODR000694,U379,Apple Watch Series 9,4227,2024.5.14 9时,北京市锦江区,15195972304,已取消
ODR000695,U384,手机壳,7942元,2024/5/10,南京市雁塔区,13755354634,已付款
ODR000696,U157,USB-C充电线,6007元,2024-10-03 13:12:28,西安市雁塔区,手机号缺失,待付款
ODR000697,U074,Apple Watch Series 9,4347元,2024-09-11 15:15:07,上海市江汉区,13600688268,已完成
ODR000698,U035,AirPods Pro 2,4530,2024.4.20 18时,深圳市玄武区,15219121602,已发货
ODR000699,U012,HomePod mini,¥1509,2024-10-15 16:23:05,杭州市渝中区,13767838778,已完成
ODR000700,U473,iPad Pro 12.9,¥7817,2024.10.20 18时,北京市西湖区,15097153436,已付款
ODR000701,U477,AirPods Pro 2,8241,2024/7/19,武汉市天河区,13730640488,已完成
ODR000702,U477,屏幕保护膜,6239元,2024-09-10 16:12:06,北京市雁塔区,15010359021,已发货
ODR000703,U268,屏幕保护膜,5415,2024.3.19 11时,上海市浦东新区,15257837070,待付款
ODR000704,U192,AirPods Pro 2,1738元,2024-10-08 10:33:50,杭州市雁塔区,15115859502,已完成
ODR000705,U467,iPhone 15 Pro,¥7296,2024.9.7 16时,广州市浦东新区,13546177639,已取消
ODR000706,U247,屏幕保护膜,¥4961,2024-06-05 09:41:01,重庆市朝阳区,15008390676,已完成
ODR000707,U213,AirPods Pro 2,7776,2024-12-23 18:56:47,深圳市西湖区,15228807869,待付款
ODR000708,U169,iPhone 15 Pro,2522元,2024-12-12 16:26:58,成都市西湖区,13808128110,已完成
ODR000709,U280,MacBook Air M3,3887,2024-11-24 17:50:35,西安市朝阳区,15243212143,已发货
ODR000710,U251,iPhone 15 Pro,7881,2024-09-27 12:38:36,成都市天河区,13634833296,已完成
ODR000711,U396,iPad Pro 12.9,¥6587,2024/4/14,广州市渝中区,13638296178,已付款
ODR000712,U269,MacBook Air M3,¥932,2024/2/21,杭州市雁塔区,15102142630,待付款
ODR000713,U340,iPhone 15 Pro,¥2811,2024-03-13 10:51:23,,13745116327,待付款
ODR000714,U395,HomePod mini,9550元,2024/6/3,武汉市天河区,15132526172,已完成
ODR000715,U296,手机壳,1066元,2024-01-19 09:37:09,杭州市锦江区,123456,已发货
ODR000716,U266,iMac 24寸,7184,2024/7/28,,15033120802,待付款
ODR000717,U065,AirPods Pro 2,¥3340,2024-09-22 16:27:38,南京市南山区,13797585846,已付款
ODR000718,U035,手机壳,8909元,2024.11.17 12时,重庆市锦江区,13970465890,已付款
ODR000719,U176,Magic Mouse,753,2024.12.22 15时,西安市玄武区,15285612851,已完成
ODR000720,U205,MacBook Air M3,2034,2024/4/10,广州市锦江区,abc12345678,已完成
ODR000721,U003,Magic Mouse,3263,2024.5.18 9时,重庆市江汉区,13549578970,已取消
ODR000722,U158,iPhone 15 Pro,5999,2024.1.2 12时,北京市渝中区,abc12345678,已发货
ODR000723,U019,HomePod mini,9693,2024.2.13 21时,北京市锦江区,13690280467,已发货
ODR000724,U312,手机壳,1574,2024/1/22,上海市浦东新区,123456,已付款
ODR000725,U285,Mac mini M2,355,2024.9.23 17时,杭州市玄武区,15294555813,已完成
ODR000726,U075,HomePod mini,7587,2024.6.8 17时,武汉市雁塔区,123456,已完成
ODR000727,U489,iMac 24寸,4908,2024.6.14 19时,南京市玄武区,13631157123,待付款
ODR000728,U192,手机壳,2200,2024.10.14 18时,成都市江汉区,13794686317,已取消
ODR000729,U138,MacBook Air M3,¥8834,2024.8.23 17时,西安市天河区,13738065988,待付款
ODR000730,U206,手机壳,¥7617,2024.6.9 21时,广州市渝中区,13802527734,待付款
ODR000731,U060,MacBook Air M3,¥2753,2024.3.28 19时,广州市江汉区,15187799936,已发货
ODR000732,U048,MacBook Air M3,8655元,2024-09-04 11:24:30,北京市渝中区,13800138,已完成
ODR000733,U329,Mac mini M2,7055元,2024.7.23 14时,上海市南山区,13645280118,已完成
ODR000734,U081,iPad Pro 12.9,1587,2024-11-11 17:55:21,杭州市江汉区,13747029845,已付款
ODR000735,U317,MacBook Air M3,7071,2024.11.6 10时,成都市浦东新区,123456,已取消
ODR000736,U103,MacBook Air M3,¥9007,2024.4.23 13时,,abc12345678,已付款
ODR000737,U319,Mac mini M2,9772,2024/3/14,武汉市渝中区,13710704434,已完成
ODR000738,U322,手机壳,5999,2024.2.14 13时,北京市朝阳区,abc12345678,已发货
ODR000739,U231,HomePod mini,9996,2024-07-12 11:16:43,深圳市西湖区,15109978705,已付款
ODR000740,U436,Magic Keyboard,7669,2024/2/24,上海市南山区,13962823310,已付款
ODR000741,U275,屏幕保护膜,3632,2024-04-18 15:01:28,广州市玄武区,13685761398,已发货
ODR000742,U113,Apple Watch Series 9,5273,2024.4.3 19时,,13851654731,已完成
ODR000743,U020,iPad Pro 12.9,6798元,2024/10/23,上海市江汉区,13632342169,已完成
ODR000744,U076,Apple Watch Series 9,¥6778,2024-03-07 10:34:44,广州市玄武区,13669206146,已完成
ODR000745,U088,手机壳,8028,2024-08-06 20:23:24,深圳市南山区,15068198376,已取消
ODR000746,U204,AirPods Pro 2,8836,2024.3.2 16时,西安市渝中区,13908317866,待付款
ODR000747,U129,Apple Watch Series 9,306,2024.7.20 20时,西安市朝阳区,13822195018,已付款
ODR000748,U283,AirPods Pro 2,1432,2024.10.19 11时,重庆市雁塔区,15024008551,待付款
ODR000749,U260,Magic Keyboard,4188,2024-10-22 15:23:53,杭州市雁塔区,15165559256,已发货
ODR000750,U264,iPad Pro 12.9,1057,2024-07-04 14:59:57,重庆市江汉区,13679097348,待付款
ODR000751,U231,屏幕保护膜,9905,2024.2.20 11时,上海市西湖区,13712110119,待付款
ODR000752,U381,Apple Watch Series 9,¥7716,2024.11.18 11时,广州市天河区,13752042385,已发货
ODR000753,U119,AirPods Pro 2,3527,2024.2.10 10时,武汉市渝中区,13790651350,待付款
ODR000754,U331,iMac 24寸,7276,2024-11-13 21:48:11,深圳市锦江区,15041776464,已取消
ODR000755,U481,HomePod mini,4332,2024.10.15 11时,,13920139133,已付款
ODR000756,U110,Apple Watch Series 9,¥9454,2024.7.20 12时,杭州市江汉区,13893147182,已付款
ODR000757,U386,MacBook Air M3,¥6687,2024.6.18 20时,北京市天河区,13753698883,已付款
ODR000758,U228,屏幕保护膜,7946,2024.8.23 17时,杭州市西湖区,13828875946,已取消
ODR000759,U454,屏幕保护膜,7667,2024/3/20,西安市玄武区,13581704272,待付款
ODR000760,U389,iPad Pro 12.9,7577,2024.8.25 20时,南京市雁塔区,13841914665,待付款
ODR000761,U002,HomePod mini,¥2477,2024-11-21 12:39:05,重庆市浦东新区,15131030424,已发货
ODR000762,U139,屏幕保护膜,6116,2024.7.10 12时,成都市雁塔区,13507265505,已付款
ODR000763,U360,AirPods Pro 2,1563,2024/2/14,南京市玄武区,13924946108,已完成
ODR000764,U047,Apple Watch Series 9,9032,2024-10-28 16:46:06,西安市江汉区,13684621729,已取消
ODR000765,U097,HomePod mini,5477,2024.1.15 14时,武汉市锦江区,13562265449,已完成
ODR000766,U366,USB-C充电线,6543,2024-02-09 15:25:52,杭州市雁塔区,13526788332,待付款
ODR000767,U069,Magic Mouse,7527,2024-09-16 15:59:12,武汉市西湖区,15186878939,已取消
ODR000768,U154,MacBook Air M3,4764,2024-08-05 15:26:44,成都市江汉区,15245044638,已发货
ODR000769,U044,Apple Watch Series 9,7546,2024.5.7 21时,杭州市玄武区,15033324880,已发货
ODR000770,U234,iPhone 15 Pro,4857,2024-11-17 15:02:50,西安市渝中区,123456,待付款
ODR000771,U063,iPad Pro 12.9,3409,2024.11.14 11时,上海市雁塔区,15277506205,待付款
ODR000772,U044,Magic Mouse,9199,2024-07-27 20:18:07,重庆市天河区,13787588065,已发货
ODR000773,U194,Apple Watch Series 9,4646元,2024/8/25,深圳市南山区,15199317668,待付款
ODR000774,U183,Magic Mouse,¥5685,2024.5.23 17时,杭州市南山区,15097876958,已付款
ODR000775,U260,Magic Keyboard,¥9112,2024.1.20 11时,西安市锦江区,13596920495,待付款
ODR000776,U189,Mac mini M2,6408,2024-08-14 10:03:07,西安市西湖区,15123217460,已完成
ODR000777,U283,Apple Watch Series 9,¥9599,2024.2.15 13时,重庆市雁塔区,13518591983,已完成
ODR000778,U402,Apple Watch Series 9,¥5185,2024.5.19 17时,西安市锦江区,15276240047,已付款
ODR000779,U065,Magic Keyboard,4570,2024.7.26 9时,武汉市天河区,13940633311,已取消
ODR000780,U351,MacBook Air M3,3468,2024.1.6 21时,武汉市玄武区,15285771390,已完成
ODR000781,U222,USB-C充电线,8733,2024-03-24 11:23:17,杭州市江汉区,13796707771,已发货
ODR000782,U380,Magic Keyboard,8829,2024.4.17 14时,,13614701335,已发货
ODR000783,U150,Mac mini M2,9015,2024-08-25 17:54:50,广州市锦江区,13695251316,已付款
ODR000784,U484,USB-C充电线,7092元,2024.9.16 12时,重庆市浦东新区,15113452489,已付款
ODR000785,U143,HomePod mini,1835,2024-12-12 21:09:54,上海市锦江区,13513181646,待付款
ODR000786,U198,Apple Watch Series 9,5759,2024.1.17 14时,广州市朝阳区,手机号缺失,已发货
ODR000787,U248,Mac mini M2,3543,2024-02-01 21:56:32,杭州市雁塔区,abc12345678,已付款
ODR000788,U347,HomePod mini,4956,2024-07-07 15:01:37,南京市南山区,13535139981,已取消
ODR000789,U339,iMac 24寸,9447,2024.1.25 17时,北京市南山区,123456,已付款
ODR000790,U232,Magic Mouse,8438,2024.10.26 11时,上海市浦东新区,15061018006,已完成
ODR000791,U004,iPhone 15 Pro,103,2024/5/9,北京市渝中区,15168309584,已付款
ODR000792,U249,Apple Watch Series 9,¥917,2024.8.2 17时,深圳市天河区,13751662438,已付款
ODR000793,U396,手机壳,7595元,2024-06-03 20:45:03,上海市浦东新区,13952919934,已发货
ODR000794,U382,屏幕保护膜,2381,2024-08-07 19:46:16,深圳市西湖区,13876960228,已完成
ODR000795,U192,USB-C充电线,4546,2024-08-21 13:59:36,深圳市朝阳区,abc12345678,已完成
ODR000796,U473,Magic Keyboard,4642,2024-04-16 11:13:25,西安市南山区,15083260014,已完成
ODR000797,U420,手机壳,8593,2024.6.22 13时,武汉市锦江区,13723347099,已取消
ODR000798,U402,屏幕保护膜,205,2024-01-13 14:31:12,成都市天河区,15296651522,已完成
ODR000799,U156,MacBook Air M3,9703,2024-10-26 14:42:37,西安市南山区,13986531479,待付款
ODR000800,U236,Magic Mouse,2591,2024-05-11 16:38:34,成都市朝阳区,手机号缺失,已完成
ODR000801,U117,Magic Keyboard,¥912,2024.2.22 10时,重庆市雁塔区,13531762468,已付款
ODR000802,U296,Apple Watch Series 9,4080,2024/10/19,北京市浦东新区,13803216068,待付款
ODR000803,U015,Magic Mouse,¥3651,2024-07-17 18:27:12,广州市天河区,15275423389,已完成
ODR000804,U213,USB-C充电线,2325,2024-07-12 12:40:35,南京市锦江区,13800138,已付款
ODR000805,U164,屏幕保护膜,¥9488,2024-12-10 15:54:10,重庆市锦江区,13994914281,待付款
ODR000806,U472,Magic Mouse,3970,2024-05-19 09:11:15,北京市锦江区,15085135804,已取消
ODR000807,U083,iPad Pro 12.9,2016,2024-12-06 14:18:27,成都市锦江区,13812002718,已付款
ODR000808,U102,HomePod mini,9326,2024-02-17 14:01:52,上海市江汉区,13800138,已完成
ODR000809,U194,Magic Mouse,¥5138,2024-08-01 09:05:30,广州市玄武区,15110919203,已完成
ODR000810,U216,HomePod mini,8845,2024.9.2 17时,上海市朝阳区,13905837530,待付款
ODR000811,U420,HomePod mini,2875,2024-01-14 09:25:47,广州市渝中区,13760333588,已付款
ODR000812,U140,Apple Watch Series 9,1067元,2024.1.25 18时,武汉市雁塔区,13647342995,已完成
ODR000813,U460,iMac 24寸,3403,2024-11-11 10:26:43,广州市浦东新区,13633700229,已取消
ODR000814,U383,手机壳,4241,2024.1.16 9时,南京市玄武区,13555589330,已付款
ODR000815,U192,Mac mini M2,8076,2024/2/6,广州市西湖区,15031670118,待付款
ODR000816,U396,Magic Mouse,2072,2024/10/22,深圳市浦东新区,13766106936,已取消
ODR000817,U397,Apple Watch Series 9,5481,2024.8.25 10时,深圳市朝阳区,13555698842,已取消
ODR000818,U464,USB-C充电线,1769,2024.11.4 17时,成都市西湖区,15034382207,已付款
ODR000819,U125,USB-C充电线,¥938,2024/5/11,武汉市浦东新区,15140027023,已取消
ODR000820,U192,AirPods Pro 2,9273元,2024.9.9 19时,重庆市天河区,13584287232,待付款
ODR000821,U136,Apple Watch Series 9,5730,2024.8.2 11时,成都市雁塔区,13773479164,已完成
ODR000822,U163,Magic Keyboard,2760,2024.12.10 12时,深圳市西湖区,15012905825,待付款
ODR000823,U247,MacBook Air M3,8803,2024-11-24 10:38:58,重庆市玄武区,15164030305,已发货
ODR000824,U279,AirPods Pro 2,7376,2024-02-23 15:54:26,西安市渝中区,13542359705,已发货
ODR000825,U269,iPad Pro 12.9,4368元,2024.11.8 18时,广州市南山区,15012405542,待付款
ODR000826,U381,HomePod mini,¥1531,2024.8.9 14时,重庆市渝中区,15103981226,已取消
ODR000827,U179,Magic Mouse,9570元,2024-07-11 21:42:44,西安市西湖区,15269006834,已发货
ODR000828,U056,AirPods Pro 2,6183,2024/7/18,北京市江汉区,15037116094,已完成
ODR000829,U064,手机壳,7574,2024.8.12 15时,武汉市锦江区,手机号缺失,已取消
ODR000830,U013,Magic Keyboard,5263,2024-07-19 15:30:12,成都市渝中区,15086862214,已取消
ODR000831,U149,手机壳,8845,2024-03-08 16:24:08,广州市天河区,13836609739,已取消
ODR000832,U011,MacBook Air M3,4158,2024.7.9 11时,西安市渝中区,13933805434,已完成
ODR000833,U014,HomePod mini,6768,2024.10.9 10时,北京市江汉区,15281209997,已完成
ODR000834,U462,Magic Mouse,5296,2024.7.17 17时,西安市西湖区,13930104575,待付款
ODR000835,U013,手机壳,8876,2024.1.14 17时,成都市西湖区,15041392546,待付款
ODR000836,U497,USB-C充电线,5432,2024-04-02 18:56:57,武汉市锦江区,15235298044,已付款
ODR000837,U256,Magic Mouse,¥5223,2024/12/28,西安市天河区,13629405796,已付款
ODR000838,U356,Mac mini M2,9009,2024-08-13 15:32:11,成都市江汉区,13500207737,待付款
ODR000839,U389,Magic Mouse,1201,2024/5/27,北京市渝中区,15217522284,已取消
ODR000840,U429,HomePod mini,2865元,2024-08-18 16:09:49,西安市锦江区,13717440756,待付款
ODR000841,U363,USB-C充电线,2329,2024-03-22 11:23:47,杭州市浦东新区,15193552446,已发货
ODR000842,U305,iPad Pro 12.9,¥5956,2024.6.10 20时,武汉市锦江区,abc12345678,已付款
ODR000843,U226,手机壳,932,2024-06-22 18:28:38,广州市天河区,15225411451,已取消
ODR000844,U412,iPad Pro 12.9,7746,2024.3.8 10时,上海市西湖区,13609423241,已发货
ODR000845,U272,手机壳,1731,2024.5.18 16时,,15208429881,待付款
ODR000846,U267,HomePod mini,1376,2024.3.15 16时,上海市南山区,13883928138,待付款
ODR000847,U275,屏幕保护膜,¥6521,2024/6/23,,13596951416,待付款
ODR000848,U321,iPad Pro 12.9,1439,2024.12.21 16时,上海市天河区,13560067950,待付款
ODR000849,U241,HomePod mini,2852,2024-08-21 14:54:42,武汉市锦江区,13572225300,已取消
